,fees_R_X,fees_R_Y
429,0E-54,0E-46
430,0E-54,0E-46
431,0E-54,0E-46
432,0E-54,0E-46
433,0E-54,0E-46
434,0E-54,0E-46
435,0E-54,0E-46
436,0E-54,0E-46
437,-0.0000032545331658236629744983374894106098057587258156691,-2217.2351994481597094540756200398351123646396120321
438,0.000003254533165823662974498337489410609805758725815669,2217.2351994481597094540756200398351123646396120321
439,0E-54,0E-46
440,0E-54,0E-46
441,0E-54,0E-46
442,0E-54,0E-46
443,0E-54,0E-46
444,0E-54,0E-46
445,0E-54,0E-46
446,0E-54,0E-46
447,-0.000010270798327767311726180236534801561306567315801180,-3489.3106095793623286600370638618533067052763092179
448,0.000010270798327767311726180236534801561306567315801180,3489.3106095793623286600370638618533067052763092179
449,0E-54,0E-46
450,0E-54,0E-46
451,0E-54,0E-46
452,0E-54,0E-46
453,0E-54,0E-46
454,0E-54,0E-46
455,0E-54,0E-46
456,0E-54,0E-46
457,-0.000010440193206789268460356895260398406582875504202493,-3579.6340503669371386193428637228960506932282886252
458,0.000010440193206789268460356895260398406582875504202493,3579.6340503669371386193428637228960506932282886252
459,0E-54,0E-46
460,0E-54,0E-46
461,0E-54,0E-46
462,0E-54,0E-46
463,0E-54,0E-46
464,0E-54,0E-46
465,0E-54,0E-46
466,0E-54,0E-46
467,-0.000010285128064955471727126809653304961381786780901296,-3496.5473070256435134558593609631353634781400119090
468,0.000010285128064955471727126809653304961381786780901296,3496.5473070256435134558593609631353634781400119090
469,0E-54,0E-46
470,0E-54,0E-46
471,0E-54,0E-46
472,0E-54,0E-46
473,0E-54,0E-46
474,0E-54,0E-46
475,0E-54,0E-46
476,0E-54,0E-46
477,-0.000012412186210938406931039036944909488696581028402912,-5040.9424067062024209469953363665731533157713627583
478,0.000012412186210938406931039036944909488696581028402912,5040.9424067062024209469953363665731533157713627583
479,0E-54,0E-46
480,0E-54,0E-46
481,0E-54,0E-46
482,0E-54,0E-46
483,0E-54,0E-46
484,0E-54,0E-46
485,0E-54,0E-46
486,0E-54,0E-46
487,-0.000010297503276358308463611264559225715033773237242854,-3502.8594843288072712917404573231237261854531373115
488,0.000010297503276358308463611264559225715033773237242854,3502.8594843288072712917404573231237261854531373115
489,0E-54,0E-46
490,0E-54,0E-46
491,0E-54,0E-46
492,0E-54,0E-46
493,0E-54,0E-46
494,0E-54,0E-46
495,0E-54,0E-46
496,0E-54,0E-46
497,-0.000012443006141815640041172295717986301076138562205751,-5061.6019623929065323787612002186611634521391875119
498,0.000012443006141815640041172295717986301076138562205751,5061.6019623929065323787612002186611634521391875119
499,0E-54,0E-46
500,0E-54,0E-46
501,0E-54,0E-46
502,0E-54,0E-46
503,0E-54,0E-46
504,0E-54,0E-46
505,0E-54,0E-46
506,0E-54,0E-46
507,-0.000010275593431660770608674365993866527242731895049545,-3489.9670301663169155285396634552729683738261258893
508,0.000010275593431660770608674365993866527242731895049545,3489.9670301663169155285396634552729683738261258893
509,0E-54,0E-46
510,0E-54,0E-46
511,0E-54,0E-46
512,0E-54,0E-46
513,0E-54,0E-46
514,0E-54,0E-46
515,0E-54,0E-46
516,0E-54,0E-46
517,-8.0205040361891235239551686063722907389020042855573E-7,-464.15550316404466446100376340380997731135674458319
518,8.02050403618912352395516860637229073890200428556E-7,464.1555031640446644610037634038099773113567445832
519,0E-54,0E-46
520,0E-54,0E-46
521,0E-54,0E-46
522,0E-54,0E-46
523,0E-54,0E-46
524,0E-54,0E-46
525,0E-54,0E-46
526,0E-54,0E-46
527,-0.000010226040594141690771326872596624356841282277755311,-3463.3763149969236080222870488392076166581465420452
528,0.000010226040594141690771326872596624356841282277755311,3463.3763149969236080222870488392076166581465420452
529,0E-54,0E-46
530,0E-54,0E-46
531,0E-54,0E-46
532,0E-54,0E-46
533,0E-54,0E-46
534,0E-54,0E-46
535,0E-54,0E-46
536,0E-54,0E-46
537,-5.9276444907742883207155243417167685858144055157558E-8,-31.575306570938118022391328860984742438405214963667
538,5.9276444907742883207155243417167685858144055158E-8,31.5753065709381180223913288609847424384052149637
539,0E-54,0E-46
540,0E-54,0E-46
541,0E-54,0E-46
542,0E-54,0E-46
543,0E-54,0E-46
544,0E-54,0E-46
545,0E-54,0E-46
546,0E-54,0E-46
547,-0.000010294325016562970311780080284253086771711954434317,-3499.5232927870652710242706014780828407759748134767
548,0.000010294325016562970311780080284253086771711954434317,3499.5232927870652710242706014780828407759748134767
